epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,356.726,1.02221,0.49537,0.93867,0.98351,0.98728,0.99313,0.71131,1.02083,0.4362,0.9433,0.000576067,0.000576067,0.000576067
43,365.667,1.13387,0.52031,0.93847,0.99333,0.99644,0.99439,0.70593,1.05644,0.45051,0.95505,0.000575775,0.000575775,0.000575775
44,373.662,1.04065,0.49374,0.94268,0.99208,0.99855,0.99476,0.71586,1.03551,0.44141,0.94952,0.000575484,0.000575484,0.000575484
45,382.097,0.98915,0.46722,0.91737,0.99529,0.99916,0.99499,0.71752,1.01362,0.4335,0.94269,0.000575193,0.000575193,0.000575193
46,391.195,1.05133,0.49314,0.94985,0.99123,0.99474,0.99317,0.71698,1.01846,0.446,0.94382,0.000574902,0.000574902,0.000574902
47,400.648,1.03825,0.49036,0.94541,0.98812,0.99916,0.99496,0.72069,1.03306,0.44734,0.94203,0.000574611,0.000574611,0.000574611
48,409.6,1.02333,0.48889,0.92603,0.99176,0.99876,0.99446,0.71844,1.02091,0.43414,0.94484,0.00057432,0.00057432,0.00057432
49,416.765,1.02507,0.48874,0.90974,0.99288,0.99712,0.99488,0.72123,1.00389,0.45256,0.93659,0.000574029,0.000574029,0.000574029
50,425.623,1.00487,0.47616,0.94019,0.99423,0.99805,0.995,0.72334,1.00249,0.44046,0.93767,0.000573738,0.000573738,0.000573738
51,433.525,1.01355,0.48152,0.92503,0.99627,0.99873,0.99499,0.71795,1.01494,0.43557,0.94277,0.000573447,0.000573447,0.000573447
52,443.81,0.99852,0.46615,0.94872,0.99175,0.9985,0.99464,0.72631,1.0044,0.44497,0.9386,0.000573156,0.000573156,0.000573156
53,452.559,1.02198,0.48092,0.91644,0.98265,0.99689,0.99472,0.71172,1.03507,0.45812,0.94485,0.000572865,0.000572865,0.000572865
54,461.246,1.00804,0.49576,0.93484,0.98795,0.99664,0.99344,0.70174,1.07547,0.45367,0.9621,0.000572574,0.000572574,0.000572574
55,469.593,1.01389,0.46673,0.93234,0.99433,0.99833,0.99492,0.72635,1.00823,0.44017,0.9398,0.000572283,0.000572283,0.000572283
56,480.207,0.99365,0.46233,0.95223,0.99156,0.99588,0.99436,0.71442,1.04998,0.43254,0.95192,0.000571992,0.000571992,0.000571992
57,488.183,0.97636,0.4501,0.91086,0.99361,0.99878,0.99373,0.73422,0.98837,0.42012,0.93217,0.000571701,0.000571701,0.000571701
58,497.178,1.00997,0.46078,0.91234,0.99576,0.999,0.99499,0.72303,1.02714,0.42256,0.94343,0.00057141,0.00057141,0.00057141
